@RELATION dummy1

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {19, 41, 7, 120, 96, 129, 102, 86, 30, 16, 90, 13, 10, 15, 109, 29, 118, 54, 142, 21, 14, 92, 79, 81, 1, 52, 46, 69, 60, 32, 23, 147, 84, 48, 111, 58, 127, 17, 98, 116, 133, 124, 4, 42, 114, 20, 121, 74, 35, 95, 78, 27}

@DATA
BJWGV9OYY,1470888125,0,1,50.0909115746,14.4177649265,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SJ8VAu_FF,1470887846,0,1,46.0760258939,18.2281868835,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
ryeQ-9dFY,1470887909,0,1,47.481286623,19.0847565637,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,7
HJzVP5_tF,1470888215,0,1,47.4930776444,19.0527359304,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,120
SkGXsq_tK,1470887891,0,1,49.2249181792,14.4151772401,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,96
HybyksuYt,1470888189,0,1,46.0499250212,14.5056859983,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
rkrQNFOKt,1470887821,0,1,45.4342223592,12.3361350849,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SkgJkjdFK,1470888513,0,1,46.0498073334,14.5054200409,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
B1ZVEquKY,1470887878,0,1,48.1854584976,16.3116809022,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,102
HkZh55dKK,1470888072,0,1,45.4345760911,12.3335820747,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,86
ry-39cOtt,1470888126,0,1,45.4345476067,12.3358905333,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,30
Syx255dtt,1470887959,0,1,45.433898842,12.3384112577,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
Syen5qutt,1470888265,0,1,45.4324293785,12.3327399449,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,90
HJb6jOuKK,1470887910,0,1,45.7986530846,15.9626539822,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,96
HJf94YdYY,1470887840,0,1,49.2253727767,14.4154135054,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
r1w54FutF,1470888135,0,1,49.225052118,14.416029743,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,96
ByHDAcdYt,1470888403,0,1,47.7736781097,13.0698740661,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
SkMxaY_YK,1470887842,0,1,46.0664407434,14.5179332473,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,10
HkIGN5_Yt,1470887854,0,1,50.0972924836,14.424997662,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,15
S1rJpcdKY,1470888065,0,1,45.8107827524,15.9809015336,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,109
B1VF6d_YY,1470888075,0,1,50.0899412864,14.4241366943,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,29
ryP8LK_FF,1470888099,0,1,45.8085836809,15.9755595589,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
H17qzcdYt,1470888101,0,1,48.1875219077,16.3839693208,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,118
ry7VV9dKY,1470888192,0,1,48.1873982226,16.3125985222,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,54
H1Aj_OtK,1470888101,0,1,46.544394,15.643076,jaka423,3337048,s3zarmq2vq5btsfk15s34rjsod3lgp0z,142
Sy0-sYdYK,1470888070,0,1,48.2126889131,16.3509051896,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
BkzstdFK,1470887822,0,1,48.2128639859,16.351346192,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
H1xXJddYt,1470887899,0,1,48.154779,16.453289,(Anonymous),H17n3JzK,c30a9a205af811e68bd9efe07f1f92cc,142
S1QM49uFY,1470887830,0,1,50.0874910942,14.4195317291,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,14
H1QVqdKF,1470887975,0,1,50.0961206274,14.4251878616,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,92
H1WV49_tF,1470887878,0,1,48.1874301508,16.3118306363,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,79
B1bvqdFF,1470887924,0,1,48.3062480676,14.2871245958,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,96
HyXhqq_KY,1470887943,0,1,45.4368284552,12.3389193511,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,81
Hkpq5utF,1470888087,0,1,45.4343469133,12.3390908617,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
rkrdtdFK,1470887976,0,1,49.5914246756,17.2511644736,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
S1ZmW5_KY,1470888074,0,1,47.4817324681,19.0821694105,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
SkUfquKF,1470888281,0,1,45.8116711361,15.9688502224,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
BkVqM9OKF,1470888187,0,1,48.1870640582,16.3843735893,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,1
S1Mya9uYt,1470888268,0,1,45.8137634268,15.969629538,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,52
B1duDK_FF,1470887794,0,1,48.8599625148,2.3444599072,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
rkDc4cOKK,1470888281,0,1,49.4433547853,1.0889757338,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,41
BJxq4qdKF,1470887821,0,1,49.4581679422,1.0680884516,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
H1K8OqdYt,1470887939,0,1,49.9079633954,2.2843097337,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
r1NULu_FK,1470887845,0,1,48.8576195268,2.3045003578,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
SJWD4tuKF,1470888013,0,1,48.8934790054,2.3870814382,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,1
ryDVFdYK,1470887892,0,1,48.8738880427,2.3753208281,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,118
B1GO19_tY,1470887910,0,1,50.0819716079,8.2393966012,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,21
HyD89OYK,1470888144,0,1,48.8232509353,2.3398497592,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
BkECquKK,1470888449,0,1,48.8600321222,2.3603652858,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,46
HkHGR5_Kt,1470888108,0,1,48.8334732256,2.3436761691,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,69
rkXXRqdtt,1470888127,0,1,48.851422425,2.3466518897,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,13
rJzm09uKt,1470888478,0,1,48.8558093231,2.3475416702,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,54
ry8QR5dYF,1470888298,0,1,48.8396414928,2.3497153905,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,16
ryEWC5uYt,1470888162,0,1,48.8637027026,2.3345806904,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,60
SJUbR5_Yt,1470887941,0,1,48.9320331219,2.3655711798,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
r17bAq_YY,1470888321,0,1,48.8469955692,2.3361028717,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,32
BkVW0quKF,1470888276,0,1,48.8616305028,2.3359030522,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,23
ryfA5uYK,1470888635,0,1,48.84777723,2.336342782,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,120
r1Gf09dKt,1470888474,0,1,48.8571761259,2.3422098713,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,129
SkNmC5utK,1470888388,0,1,48.8402428292,2.3510819063,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
HJQXAcuYK,1470888061,0,1,48.8493880853,2.3499958083,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,19
