@RELATION dummy2

@ATTRIBUTE id string
@ATTRIBUTE created numeric
@ATTRIBUTE downvotes numeric
@ATTRIBUTE upvotes numeric
@ATTRIBUTE latitude numeric
@ATTRIBUTE longitude numeric
@ATTRIBUTE pokemonId numeric
@ATTRIBUTE trainerName string
@ATTRIBUTE userId string
@ATTRIBUTE deviceId string
@ATTRIBUTE class {+1,-1}

@DATA
B1duDK_FF,1470887794,0,1,48.8599625148,2.3444599072,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
rkDc4cOKK,1470888281,0,1,49.4433547853,1.0889757338,41,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BJxq4qdKF,1470887821,0,1,49.4581679422,1.0680884516,16,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
H1K8OqdYt,1470887939,0,1,49.9079633954,2.2843097337,19,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
r1NULu_FK,1470887845,0,1,48.8576195268,2.3045003578,13,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
SJWD4tuKF,1470888013,0,1,48.8934790054,2.3870814382,1,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,-1
ryDVFdYK,1470887892,0,1,48.8738880427,2.3753208281,118,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
B1GO19_tY,1470887910,0,1,50.0819716079,8.2393966012,21,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HyD89OYK,1470888144,0,1,48.8232509353,2.3398497592,129,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
BkECquKK,1470888449,0,1,48.8600321222,2.3603652858,46,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
HkHGR5_Kt,1470888108,0,1,48.8334732256,2.3436761691,69,(PokeRadarPrediction),13661365,80sxy0vumg2h5hhv8hgc0axt9jr29al7,+1
